Citation Key,Ano,Autor(es),Título,Arquitetura/Padrão,Contribuição (FUSE),Limitações/Crítica,Excerto Chave
dobaj_microservice_2018,2018,Dobaj et al.,A Microservice Architecture for the Industrial Internet-Of-Things,"Arquitetura de Microserviços em 4 camadas (DSS, Abstração de Dados, DDS, DGDS) distribuída entre Edge, Fog e Cloud. Uso de padrões como Mediator e Publisher-Subscriber.","Valida o uso de uma Camada de Abstração de Dados com o padrão Mediator para desacoplar a lógica de serviço dos protocolos de comunicação, crucial para a heterogeneidade de câmaras. Demonstra a viabilidade de microserviços em Edge devices.",O foco em hard real-time e segurança funcional industrial (IEC 61508) pode introduzir complexidade excessiva para videovigilância pura. O padrão Saga para consistência de dados pode induzir latência indesejada em streams contínuos.,"""The domain specific data abstraction layer [...] acts as middleware [...] responsible for efficiently managing the device local data and mediating the local and remote access to this data."""
barros_iot_2019,2019,Barros et al.,An IoT multi-protocol strategy for the interoperability of distinct communication protocols applied to web of things,"IoTM2B (Multi-Protocol Message Broker). Uma estratégia de Middleware que atua como Gateway de tradução: aceita pedidos em protocolos heterogéneos (MQTT, CoAP, HTTP), extrai o payload e normaliza o envio para o sistema alvo via HTTP POST.","Oferece benchmarks quantitativos cruciais que mostram a ineficiência do HTTP em dispositivos embedded (até 200x mais lento que CoAP/MQTT). Valida arquiteturalmente o uso de um Broker intermediário para lidar com a heterogeneidade de protocolos de entrada, isolando o sistema central.","A estratégia normaliza a saída para HTTP POST. Embora funcione para telemetria simples (sensores), esta abordagem de ""converter tudo para HTTP"" seria um gargalo crítico para streaming de vídeo ou dados binários pesados no FUSE. O estudo foca apenas em dados escalares (temperatura), ignorando streams contínuos.","""The integration process consists of requesting message body extraction and sending it to a target system [...] promotes the integration with other protocols through the implementation of new protocol connectors."""
mesmoudi_design_2018,2018,Mesmoudi et al.,Design and implementation of a smart gateway for IoT applications using heterogeneous smart objects,"Smart Gateway baseado em SOA (Service-Oriented Architecture) utilizando stack Java EE (JAX-RS, JSF). Implementa um ciclo de vida: Initialization -> ThingDiscovery (Scanning) -> ServiceAvailable (DB local SQLite) -> LoadingService.",Reforça o padrão de Gateway como ponto central de tradução de heterogeneidade de rede (WiFi vs Bluetooth vs ZigBee). O conceito de ThingDiscovery automatizado é muito relevante para o FUSE detetar câmaras novas na rede sem configuração manual.,"A arquitetura baseada em Request/Response (REST/JAX-RS) e bases de dados relacionais embarcadas (SQLite) é validada apenas para dados escalares (temperatura, podómetro). É provavelmente inadequada para streaming de vídeo contínuo devido ao overhead do protocolo HTTP e da stack Java em dispositivos limitados.","""Usually a middleware plays the role of a translator that fills up the gap between the high level requirements of different applications [...] and the complexity of different operations in the underlying sensor hardware."""
george_distributed_2019,2019,George & Ravindran,Distributed Middleware for Edge Vision Systems,"Stream-Store Middleware. Uma arquitetura de sistema de mensagens distribuído in-memory que combina capacidades de streaming (para tempo real) e armazenamento (para arquivo), operando entre Edge Nodes (câmaras) e um Edge Server.","Introduz o conceito vital de ""Latency-Accuracy Trade-off"": o middleware deve possuir ""tuning knobs"" (ex: reduzir resolução/compressão dinamicamente) para manter a latência baixa quando a rede (WiFi) está congestionada. Isto é crucial para o FUSE operar em ""redes não controladas"".","Sendo um poster paper, apresenta requisitos e design de alto nível sem uma validação empírica robusta de uma implementação completa em produção. Assume a existência de um Edge Server local potente (GPU), o que pode não existir em todos os cenários de instalação do FUSE.","""Edge applications will greatly benefit from a middleware layer that can automatically explore the latency-accuracy trade-offs specified by the application, in a dynamic operating environment."""
barra_exploring_2024,2024,Barra et al.,Exploring Architectural Choices and Emerging Challenges in Data Management for IoT: A Focus on Digital Innovation and Smart Cities,"Arquitetura Hierárquica de 3 Camadas (Edge-Fog-Cloud) focada no ciclo de vida do dado. Propõe níveis de fusão de dados distintos: Low-Level Fusion (Edge), Middle-Level Fusion (Fog) e High-Level Fusion (Cloud).","Oferece a justificativa teórica atualizada para distribuir a inteligência do FUSE. Valida que a Data Collection & Aggregation deve ocorrer no Edge (para reduzir latência/banda em vídeo) e introduz o conceito de Low-level Data Fusion (LDF), que no FUSE corresponde à deteção de movimento/objetos local antes do envio para a Cloud.","Sendo um artigo de revisão/survey, não propõe uma implementação de software nova ou um middleware específico, mas sim diretrizes arquiteturais. Alerta para a vulnerabilidade física dos dispositivos Edge, um risco crítico para o FUSE que opera em ""redes não controladas"".","""Edge computing takes this concept further by processing data directly at or near the data source, minimizing the need for data to traverse long distances [...] enabling even faster response times and improved efficiency."""
schwarzer_ial_2021,2021,Schwarzer et al.,IAL: Information Abstraction Layer to Include Multimedia in Building Automation Systems,"Information Abstraction Layer (IAL). Uma arquitetura baseada em Microserviços orquestrados em Fog Computing (Kubernetes), onde fluxos multimédia são processados gradualmente. Utiliza Hipergrafos (Information Transformation Model - ITM) para modelar as dependências e transformações dos dados.","Aborda o ""Semantic Gap"": valida que o vídeo bruto não deve ser enviado para o sistema central, mas sim ""desemaranhado"" (untangled) em pedaços de informação semântica (ex: ""movimento detetado"") por microserviços na Fog. Isto fundamenta a decisão do FUSE de ter analytics locais.","A introdução de Hipergrafos (ITM) para modelar o fluxo de dados adiciona uma complexidade de engenharia que pode ser excessiva (over-engineering) para sistemas de videovigilância pura, comparada com pipelines lineares mais simples. O estudo notou latência excessiva (>300ms) com dados muito pesados (Point Clouds).","""Multimedia is inherently ambiguous [...] Instead of processing multimedia in isolated services, we aim to analyze multimedia gradually with microservices and share their corresponding results between multiple participants."""
immich_multi-tier_2019,2019,Immich et al.,Multi-tier Edge-to-Cloud Architecture for Adaptive Video Delivery,Multi-tier Architecture (Edge-Fog-Cloud) utilizando Microservice Chaining (encadeamento de microserviços) e Network Slicing (fatiamento de rede 5G/Virtual). Implementação baseada em Docker/Kubernetes/Nginx.,"Valida empiricamente que o processamento em camadas (Edge -> Fog -> Cloud) melhora drasticamente a latência e estabilidade do vídeo. O conceito de Microservice Chaining é vital para o FUSE: permite encadear serviços de ""Ingestão"" -> ""Transcodificação"" -> ""Analytics"" -> ""Armazenamento"" de forma modular e distribuída.","O foco é em Video Delivery (YouTube/Netflix style) e MPEG-DASH, onde o buffering é aceitável. Para videovigilância em tempo real (FUSE), o buffering de segundos mencionado no artigo é proibitivo. A dependência de 5G Network Slicing pode não ser realista para todas as implementações do FUSE.","""Intelligent micro-service placement mechanisms should constantly assess the network conditions [...] and be able to seamless migrate the micro-services, to and from any tier of the Edge computing, whenever necessary."""
muniz_pragmatic_2019,2019,Muniz et al.,Pragmatic interoperability in IoT: a systematic mapping study,"Estudo secundário (Mapeamento Sistemático) que identifica o uso predominante de SOA (Service-Oriented Architecture), EDA (Event-Driven Architecture) e Sistemas Multi-Agente para tentar alcançar a interoperabilidade pragmática.","Introduz o nível de Interoperabilidade Pragmática (focada na intenção e contexto do uso do dado), superando a visão clássica apenas sintática/semântica. Isto é crucial para o FUSE: uma câmara não deve apenas transmitir vídeo, mas comunicar a ""intenção"" (ex: ""Alerta de Intrusão"" vs ""Gravação de Rotina"") para que o sistema reaja adequadamente.","Conclui que existem muito poucas soluções maduras para este nível em IoT, o que valida a lacuna literária que o FUSE pretende preencher. Muitas das soluções identificadas (como Agentes FIPA-ACL) são complexas e académicas, difíceis de aplicar em dispositivos de videovigilância comerciais limitados.","""Pragmatic interoperability can be defined as the intention about the meaning of the data [...] the communication between two devices will only happen if both the producer and consumer possess the same intention."""
resende_sistema_2025,2025,Resende,"Sistema de Videomonitoramento Seguro com Acesso Remoto Utilizando VPN, DNS Dinâmico e Software Livre",Edge NVR (Network Video Recorder) centralizado num Raspberry Pi. Utiliza Docker para orquestrar: 1) ZoneMinder (Middleware de abstração de câmaras); 2) WireGuard (VPN para acesso remoto); 3) DuckDNS (DDNS para endereçamento dinâmico).,"Valida integralmente a stack tecnológica proposta para o FUSE: Contentorização na Edge, WireGuard para tunelamento seguro (bypassing NAT/CGNAT sem cloud proprietária) e um Middleware (ZoneMinder) que normaliza fluxos RTSP/HTTP de marcas diferentes (Axis/Wanscam). Confirma a viabilidade da ""Soberania de Dados"".","O autor nota que o Raspberry Pi 3B sofreu limitações de desempenho, sugerindo hardware mais robusto para analytics pesados. Aponta que a complexidade de configuração é muito superior às soluções comerciais ""Plug & Play"", o que o FUSE terá de resolver com automação (Zero-Touch Provisioning).","""A solução cumpre os requisitos de segurança e controle, mantendo os dados sob domínio do usuário, ainda que o processo de configuração demande um nível de complexidade e trabalho significativamente superior ao observado em sistemas comerciais."""
gomez_strategies_2023,2023,Gomez et al.,"Strategies for Assuring Low Latency, Scalability and Interoperability in Edge Computing and TSN Networks for Critical IIoT Services","Arquitetura Híbrida TSN + Edge Computing. Compara cenários de ""Best Effort"" (Cloud centralizada) com cenários distribuídos usando Edge Nodes e Time-Sensitive Networking (normas IEEE 802.1Qbv/Qbu) para modelação de tráfego.","Fornece prova empírica (simulação) de que a arquitetura Edge Computing reduz a latência em até 98% para serviços críticos comparado com a Cloud. Introduz a necessidade crítica de Priorização de Tráfego (QoS): o FUSE deve distinguir tráfego ""Crítico"" (Alertas) de tráfego ""Best Effort"" (Arquivo) para evitar gargalos na rede.","A solução baseia-se fortemente em hardware compatível com TSN (Switches industriais específicos), o que é irrealista para o cenário doméstico/PME do FUSE (que usa redes ""não controladas"" e hardware commodity). A complexidade de configuração do TSN é uma barreira.","""Edge computing models allow us to adjust the deployment topology [...] reducing the latency by diminishing the number of hops [...] Using TSN and EDGE technologies as complementary models allows us to design highly efficient topologies with traffic assurance schemes."""
