Citation Key,Ano,Autor(es),Título,Protocolo/Arquitetura de Segurança,Contribuição para o FUSE,Limitações/Crítica,Excerto Chave
trabelsi_fog_2024,2024,Trabelsi et al.,A fog and blockchain-based distributed Virtual Private Networks (VPN),Distributed Fog VPN (baseado em SoftEther) + Blockchain (Ethereum) + Chord DHT.,"Valida a hipótese de que distribuir servidores VPN na Edge (Fog nodes) é mais eficiente que um servidor central, reduzindo o tempo de execução em 30% e evitando Single Point of Failure. Útil para o FUSE justificar a ausência de nuvem central.",A dependência de Blockchain (Ethereum) para autenticação pode introduzir latência proibitiva para streaming imediato. O uso de SoftEther (SSL-based) tende a ser mais pesado (overhead) que WireGuard em hardware limitado. Não avalia jitter de vídeo.,"""The execution time using weaker distributed fog nodes is lower than using one server in spite of having lower bandwidth [...] we gained around 30% in terms of execution time."""
bugeja_investigation_2018,2018,Bugeja et al.,An Investigation of Vulnerabilities in Smart Connected Cameras,Vulnerability Assessment (Shodan/CVE) & VPN Tunneling Recommendation.,"Justifica a arquitetura do FUSE ao demonstrar que câmaras expostas diretamente (""Port Forwarding"") são inerentemente inseguras devido a firmware não atualizável. Valida o uso de túneis/VPN como a única defesa viável para proteger dispositivos legados em redes hostis.","Foca-se no diagnóstico do problema (vulnerabilidades) e não na análise comparativa de performance de protocolos VPN. Não especifica qual o protocolo de túnel ideal (ex: WireGuard vs OpenVPN), apenas recomenda o conceito geral.","""One safeguard that can be adopted by a consumer is simply not to expose the camera on the Internet and instead access it through a secure tunnel, e.g. a Virtual Private Network (VPN)."""
hohmann_bridge_2021,2021,Hohmann et al.,Bridge Me If You Can! Evaluating the Latency of Securing Profinet,WireGuard + VXLAN (Layer 2 over Layer 3 tunneling).,"Fornece prova empírica de que o WireGuard introduz latência mínima (ordem dos microsegundos), viabilizando aplicações de tempo real crítico (Hard Real-Time). Se suporta controlo industrial, valida robustamente o uso para vídeo no FUSE.",O teste foca-se em pacotes pequenos (64 bytes) típicos de comandos industriais. Não avalia o throughput sustentado nem o impacto no CPU para streams de vídeo de alta largura de banda (pacotes grandes/MTU cheio).,"""Our measurements indicate that bridging Profinet over VXLAN and Wireguard induces a latency low enough for running time-critical applications."""
garcia_containerized_2023,2023,Garcia et al.,Containerized Edge Architecture for Centralized Industry 4.0 Fleet Management,OpenVPN (via OpenBalena) + Containerized Microservices (Docker/MING Stack).,"Valida a arquitetura de gestão de ""frotas"" de dispositivos Edge (Raspberry Pi) usando contentores. Demonstra que é viável gerir remotamente o ciclo de vida do software em redes industriais usando um túnel VPN centralizado. Útil para justificar a componente de ""Fleet Management"" do FUSE.","Depende da stack OpenBalena (OpenVPN), que é mais pesada e centralizada que a abordagem peer-to-peer/WireGuard do FUSE. O foco é telemetria (MQTT/Text), não vídeo em tempo real, pelo que não aborda os desafios de largura de banda de vídeo.","""The VPN (Virtual Private Network) container handles secure communication between the devices and the OpenBalena server. It creates an encrypted tunnel for devices to connect securely to the server."""
tong_daiottalk_2025,2025,Tong et al.,DAIoTtalk: A Data-Decentralized Pub-Sub AIoT Platform,Decentralized P2P (gRPC over WireGuard) vs. Centralized MQTT Broker.,"Valida a arquitetura descentralizada do FUSE para dados de alto volume (multimédia/AIoT). Demonstra experimentalmente que a comunicação direta P2P (protegida por WireGuard) elimina o ""triangle routing"", reduzindo a latência em 3x a 5x comparado com abordagens centralizadas.","Utiliza gRPC (baseado em TCP/HTTP2) para transporte de dados, o que pode sofrer de head-of-line blocking em redes instáveis, sendo geralmente inferior a UDP para streaming de vídeo contínuo. A segurança depende da VPN subjacente.","""We demonstrate through extensive experiments that our design achieves at least 3 times more efficiency than a data-centralized approach."""
guarino_data_2025,2025,Guarino et al.,Data Acquisition System for Thermal Monitoring in High-Voltage Step Down Substation using Raspberry Pi and IoT Sensors,OpenVPN (sobre GSM) + Arquitetura de Gateway Seguro (RPi 5).,"Valida o uso de Raspberry Pi 5 como Secure Gateway em infraestruturas críticas, isolando dispositivos IoT numa rede privada (Air-Gap lógico) e expondo dados apenas via túnel VPN. Estabelece o OpenVPN como o padrão atual para acesso remoto seguro neste contexto.","O estudo limita-se a dados escalares de baixa largura de banda (telemetria térmica via MQTT/HTTP). Não avalia o impacto do overhead do OpenVPN em streams de vídeo, onde a latência e o consumo de CPU seriam críticos.","""The system integrates... a Raspberry Pi 5, and a GSM router for data transmission [...] while OpenVPN ensures secure remote access."""
fan_design_2019,2019,Fan et al.,Design and Implementation of IoT Gateway Security System,IPSec VPN + PUF (Physical Unclonable Function) + OpenWRT.,"Valida a arquitetura de um ""IoT Security Gateway"" baseado em Linux embebido (OpenWRT) para proteger redes de sensores. Demonstra que gateways IoT podem sustentar túneis VPN (IPSec) com throughput razoável (95 Mbps), servindo de baseline para a tua argumentação de que o WireGuard será ainda mais eficiente.","Foca-se em algoritmos de criptografia chineses (SM2/SM3) e hardware específico (PUF), o que é menos relevante para o FUSE. O uso de IPSec é tradicionalmente mais complexo e pesado que WireGuard.","""The results show that under the VPN tunnel, the TCP throughput reaches an average of 95 Mbits/s [...] the gateway has strong security and stability."""
k_efficient_2024,2024,Sabarishraj et al.,Efficient Implementation of Firmware Over-the-Air Update using Raspberry Pi 4 and STM32F103C8T6,IPv6 VPN (OpenVPN) + MQTT (TLS/SSL) + IPFS.,"Valida o papel do Raspberry Pi como Secure Gateway para gestão do ciclo de vida (FOTA) de dispositivos IoT periféricos. Demonstra que atualizações de firmware devem ser encapsuladas num túnel VPN para garantir autenticidade e integridade, reforçando a utilidade do túnel do FUSE para além do vídeo.","Propõe uma arquitetura complexa com IPFS (armazenamento descentralizado) e OpenVPN, o que pode ser overkill e adicionar latência desnecessária num sistema focado em tempo real como o FUSE.","""Key features include... IPV6 VPN connectivity with TLS/SSL encryption [...] An IPV6 VPN connection is made between vendor and the gateway... to create a secure private tunnel."""
avanzato_enhancing_2023,2023,Avanzato et al.,Enhancing Perceptual Experience of Video Quality in Drone Communications by Using VPN Bonding,VPN Bonding (via MLVPN) + WebRTC.,"Valida o uso de Raspberry Pi como gateway de vídeo em tempo real e demonstra que encapsular vídeo num túnel VPN (neste caso com bonding) melhora a qualidade percebida (QoE) em redes instáveis, contrariando a ideia de que VPN degrada o streaming. Útil para defender a robustez do FUSE.","O foco é no algoritmo de agregação (bonding) de múltiplas interfaces 4G, o que adiciona complexidade que o FUSE pode não ter inicialmente. Usa MLVPN (baseado em UDP), não WireGuard puro, mas o princípio de encapsulamento mantém-se.","""It is possible to state that the drones used in the professional environment... make use of VPNs to connect with the remote-control room... ensuring reliable, robust, and secure transmission."""
dang_ewdc_2025,2025,Dang et al.,EWDC: Integrating DECT-2020 With Wi-Fi for Enhanced Wireless Direct Connectivity,WireGuard (Layer 3 Tunnel) over Wi-Fi + DECT-2020 (Discovery).,"Valida explicitamente o WireGuard como a solução de túnel VPN mais eficiente para proteger ligações Wi-Fi diretas em IoT. Quantifica o impacto mínimo na latência (~0.5ms) e aceitável no throughput (queda de ~17%), reforçando a escolha do FUSE para streaming seguro.","A proposta depende de hardware específico (DECT-2020 NR) para a descoberta de dispositivos, o que o FUSE provavelmente não terá (usará apenas Wi-Fi/4G). No entanto, a análise do WireGuard sobre Wi-Fi mantém-se válida.","""WireGuard... is employed to encrypt data transmission over Wi-Fi... providing robust protection... with an impressive transmission delay of less than 1 μs for EWDC communication."""
